tconst,director_name,writer_name
tt0042106,"James V. Kern,Ernest D. Glucksman,Sid Smith,Charles Isaacs,Sid Kuller,Jim Jordan,Mortimer Offner,Garry Simpson,Nat Hiken,Dee Englebach,Joseph Santley,Grey Lockwood,Buzz Kulik,Tim Whelan,Dick Berger,Coby Ruskin","Ben Blue,Matt Brooks,Sam Carlton,Dick Chevillat,Eddie Davis,Stanley Davis,Sid Dorfman,Jack Elinson,Dee Englebach,Hal Fimberg,Marvin Fisher,George Foster,Morris Freedman,Billy Friedberg,Larry Gelbart,Ernest D. Glucksman,Hal Goodman,Mort Green,Paul Henning,Nat Hiken,Arnold Horwitt,Charles Isaacs,Charles Issacs,George Jessel,Larry Klein,Sid Kuller,Norman Lear,Charles Lee,Virginia Lee,Mannie Manheim,Larry Markes,Julie Oshins,Elon Packard,Aaron Ruben,Bob Schiller,Jerry Seelen,Danny Shapiro,Ed Simmons,Ray Singer,Arthur Stander,Ben Starr,Norman Sullivan,Danny Thomas,Snag Werris"
tt0043762,David Butler,Earl Baldwin
tt0044298,"Jim Gaines,Francesco Cordaro,John Howard,Joe Michaels,Casey Casseday,Kirk Tingblad,Lloyd Aur Norman,Duke Ellington,Katerina Monemvassitis","Jerry Juhl,Robert Cunniff,Sylvester L. Weaver Jr.,Cal Howard,Katie Couric,Jonathan Schuppe"
tt0045793,Fred Zinnemann,"Daniel Taradash,James Jones"
tt0048491,Joshua Logan,"Daniel Taradash,William Inge"
tt0049800,Daniel Taradash,"Daniel Taradash,Elick Moll"
tt0051972,Rangel Vulchanov,Valeri Petrov
tt0055138,Leopoldo Torre Nilsson,"Beatriz Guido,Ricardo Luna,Ricardo Muñoz Suay,Leopoldo Torre Nilsson"
tt0057188,Rafael J. Salvia,Jaime García Herranz
tt0058439,Liviu Ciulei,"Titus Popovici,Liviu Rebreanu"
tt0058643,Leopoldo Torre Nilsson,"Beatriz Guido,Ricardo Luna,Leopoldo Torre Nilsson,Ricardo Becher"
tt0059090,Ion Popescu-Gopo,"Ion Creanga,Ion Popescu-Gopo"
tt0059470,Bernhard Wicki,"Daniel Taradash,Werner Jörg Lüddecke,Walon Green"
tt0060025,"Eric Price,Ron Taylor,Albie Thoms,Ed Devereaux,Dennis Hill,Lee Robinson,Eric Fullilove,Max Varnel,Peter Maxwell","Ross Napier,Ted Roberts,Joy Cavill,Lee Robinson,Denys Burrows,Ed Devereaux,Moya Wood,Carol Odell,Joan Levy,Rae Glasser,Warren Glasser,James Workman,Tony Booth,J. Benn Darrow,Dennis Hill,Creswick Jenkinson,Michael Wright,Maureen Walsh,Scotty Denholm,Suzanne Baker,Peter Finnane,Peter Kay,Kay Keavney,John McCallum,Will Pryor,Ron Taylor,Margaret Trist,John Warwick,Rene Devereaux,Alex McDonald,Phyllis McLean,Ron McLean,Richard Raper,Stephen Rhodes,Martyn Sanderson,Valerie Taylor,Albie Thoms,Alan Veitch,Brian Wright,Stewart A. Fist,Bill Lambert,Harry Woollerton"
tt0060910,Otakar Vávra,"Frantisek Hrubín,Otakar Vávra"
tt0061634,J. Lee Thompson,"Robin Estridge,Dennis Murphy"
tt0062890,Don Weis,"James Fritzell,Everett Greenbaum,John Fenton Murray"
tt0063585,John Flynn,Dennis Murphy
tt0063823,George Dunning,"Lee Minoff,John Lennon,Paul McCartney,Al Brodax,Jack Mendelsohn,Erich Segal,Roger McGough"
tt0063925,"Coby Ruskin,Ross Martin,Richard Michaels,Ezra Stone,Gordon Wiles,Jud Taylor,Howard Morris,Peter Baldwin,George Tyne,Joshua Shelley,Alan Rafkin,Richard Kinon,Terry Becker,Allen Baron,James Sheldon,William F. Claxton,E.W. Swackhamer,Hugh A. Robertson,Danny Simon,Hy Averback,William Wiard,Sam Strangis,Jack Donohue,Ross Bowman,Jeffrey Hayden,Norman Abbott,Leslie H. Martinson,Jack Arnold,Robert Birnbaum,Harry Falk,Arnold Margolin,Herbert Kenwith,Bill Hobin,Hal Cooper,Frank Buxton,Joseph Barbera,Seymour Robbie,Jerry London,Marc Daniels,Krishna Shah,Lee Philips,Murray Golden,Jerry Paris,Stuart Margolin,Harry Harris,Jim Parker,William Hanna,Hollingsworth Morse,Bruce Bilson,Jerrold Bernstein,Gary Nelson,Oscar Rudolph,Charles R. Rondeau","Arnold Horwitt,Larry Markes,Bob Schiller,Ray Singer,James Fritzell,Everett Greenbaum,John Fenton Murray,Garry Marshall,Jerry Belson,Roy Kammerman,Jerry Rannow,Greg Strangis,R.S. Allen,Ed Scharlach,Harvey Bullock,Peggy Elliott,Bill Idelson,Harvey Miller,Doug Tibbles,Terry Ryan,George Kirgo,Gene Thompson,Dick Bensfield,Perry Grant,Lloyd Garver,Ken Hecht,Bob Rodgers,Bernie Kahn,Dale McRaven,David Ketchum,Bruce Shelly,Charlotte Brown,Ron Friedman,Norman Lessing,Skip Webster,Bruce Howard,Arnold Margolin,Jim Parker,Arnold Peyser,Lois Peyser,David Davis,Harry Dolan,Dave Evans,Bud Freeman,Lorenzo Music,Harry Winkler,Lila Garrett,Susan Harris,Joe Michael Terry,Lynne Farr,Phil Shuken,Bill Box,Allan Burns,Alan Dinehart,Tom Wade,Stan Dreben,Jack Winter,Rubin Carson,Dick Gautier,Michael Leeson,Steve Zacharias,John Baskin,Joseph Bonaduce,Bernie Orenstein,Roger Shulman,Saul Turteltaub,Robert Garland,Nate Monaster,George Tibbles,George Yanok,Stanley Adams,Gwen Bagni,Louise Bryant,Helen Damico,James Damico,Paul Dubov,Michael Elias,Aubrey Goodman,Robert Goodwin,Deborah Haber,Doris Hursley,Frank Hursley,Alan Mandel,Lloyd J. Schwartz,Frank Shaw,Larry Siegel,Neil Simon,George F. Slavin,Roland Wolpert,Earl Barret,William Bickley,William F. Brown,Bob Brunner,Oliver Crawford,Valerie Harper,Carl Kleinschmitt,Heywood Kling,Ferdinand Leon,Phil Mishkin,Peter Myerson,Iris Rainer,Sidney Reznick,Rick Richards,Richard Schaal,Susan Silver,Barry Trivers,Bob Weiskopf,Jim Abell,Don Boyle,Bob Carroll Jr.,Dee Caruso,Martin Cohan,Madelyn Davis,Chet Dowling,Gerald Gardner,David P. Harmon,Stan Hart,S.A. Long,Laurence Marks,John Strong,Burt Styler,Paul Wayne,Barbara Avedon,Frank Buxton,Calvin Clements Jr.,Les Colodny,Joyce Eliason,Bob Fisher,Joseph Hoffman,Dennis Klein,Arthur Marx,Joe Mooney,Maurice Richlin,Milt Rosen,Stanley Ralph Ross,Lynn Roth,Ken Shapiro,Toni Van Horne,Helene Winer,Don Appell,Eric Bercovici,Johnny Bonaduce,Wally Dalton,Jerry Davis,Lee Erwin,David Evans,Alvin R. Friedman,Marilyn Hall,Brooke Harris,Jeff Harris,William J. Keenan,Sandy Krinski,Bernie Kukoff,Alfred Lewis Levitt,Helen Levitt,Norman Mark,Winston Moss,Warren S. Murray,George O'Hanlon,Lan O'Kun,Gene Perret,Howard Rayfiel,Mickey Rose,Lou Shaw,Tony Webster,Alex Barris,Arlene Stadd,Leonard Stadd,Charles Stewart,Christine Tibbles,Joseph Barbera,William Hanna,Terry Music"
tt0063932,"Stan Harris,Stan Jacobson","Richard Schaal,Carl Gottlieb,Tony Hendra,Stan Jacobson,David Steinberg,Nick Ullett,Tom Whedon"
tt0064546,Otakar Vávra,"Otakar Vávra,Václav Kaplický,Ester Krumbachová"
tt0064553,"Iosif Shapiro,Grigoriy Kozintsev","Grigoriy Kozintsev,Boris Pasternak,William Shakespeare"
tt0065506,Jean Herman,"Henri Charrière,Jean Herman,J.B. Beellsolell"
tt0065632,Claude Fournier,"Claude Fournier,Marie-José Raymond"
tt0065891,Denis Héroux,Yves Thériault
tt0065987,Krsto Papic,"Mirko Kovac,Krsto Papic"
tt0066463,Barry Shear,"Dennis Murphy,Joel Oliansky,Mann Rubin"
tt0066717,"Perry Rosemond,Art Fisher","Paul Wayne,Chris Bearde,Allan Blye,Bob Arnott,George Burditt,Phil Hahn,Coslough Johnson,Bob Einstein,Steve Martin,Jim Mulligan,Earl Brown,Jack Hanrahan"
tt0067791,Rod Amateau,"Alec Coppel,Denis Norden"
tt0068280,Ossie Davis,J.E. Franklin
tt0068639,E.W. Swackhamer,"John McGreevey,Frederick Kohner"
tt0069496,Stuart Millar,"Hal Borland,Robert Dozier"
tt0069810,Raj Kapoor,"Khwaja Ahmad Abbas,Jainendra Jain,V.P. Sathe"
tt0069978,Radu Gabrea,Fanus Neagu
tt0069982,Otakar Vávra,"Otakar Vávra,Miloslav Fábera"
tt0070253,Pramod Chakravorty,"Sachin Bhowmick,Gulshan Nanda,Ehsan Rizvi"
tt0070903,Sydney Pollack,"Arthur Laurents,Francis Ford Coppola,David Rayfiel,Dalton Trumbo"
tt0071315,Roman Polanski,"Robert Towne,Roman Polanski"
tt0071651,Andrei Blaier,Andrei Blaier
tt0072026,K.S. Prakash Rao,"Inder Raj Anand,Kausalya Devi Koduri,K.S. Prakash Rao,Raj Baldev Raj"
tt0072247,"Mette Knudsen,Elisabeth Rygaard,Li Vilstrup","Mette Knudsen,Elisabeth Rygaard,Li Vilstrup"
tt0072281,Richard Lester,"George MacDonald Fraser,Alexandre Dumas"
tt0073442,Leonid Gaidai,"Vladlen Bakhnov,Leonid Gaidai,Mikhail Zoschenko"
tt0073813,Axel Corti,Michael Scharang
tt0074423,Luigi Comencini,"Carlo Fruttero,Franco Lucentini,Agenore Incrocci,Furio Scarpelli"
tt0074539,Peyo,"Peyo,Yvan Delporte"
tt0074653,Cliff Roquemore,"Jerry Jones,Rudy Ray Moore,Ben A. Taylor,Jimmy Lynch"
tt0074949,Rajkumar Kohli,"Inder Raj Anand,Jaggi Rampal,Charandas Shokh,Rajendra Singh 'Atish'"
tt0074964,Peter Bogdanovich,"W.D. Richter,Peter Bogdanovich"
tt0075147,Richard Lester,James Goldman
tt0075585,"Ezra Stone,George Tyne,Jeffrey Hayden,Arthur H. Nadel","Howard Rayfiel,Allen Ducovny,Samuel A. Peeples,Martha Humphreys,Jack Paritz,Ted Pedersen,Lynn Barker,Susan Dworski,Don Heckman,Marianne Mosner,Peter Packer,Martin Roth,Robert Specht,Tom Swale"
tt0077362,Hal Ashby,"Waldo Salt,Robert C. Jones,Nancy Dowd,Rudy Wurlitzer"
tt0078087,Joe Dante,"Richard Robinson,John Sayles"
tt0078355,Zeki Ökten,Yilmaz Güney
tt0078446,"Tommy Chong,Lou Adler","Tommy Chong,Cheech Marin"
tt0078559,John Reardon,"Anna Raeburn,Len Richmond,Stan Hey,Andrew Nickolds"
tt0078740,David Lowell Rich,"Arthur Hailey,Jennings Lang,Eric Roth"
tt0079321,Fielder Cook,"Maya Angelou,Leonora Thuna"
tt0079520,Noel Black,"Raynold Gideon,Bruce A. Evans,Stuart Margolin"
tt0079550,Ronald Neame,"Stanley Mann,Edmund H. North"
tt0079659,Lordan Zafranovic,"Mirko Kovac,Filip David,Stipe Gurdulic,Mato Jaksic,Ranko Munitic,Lordan Zafranovic"
tt0079750,Yevgeni Tatarsky,"Edgar Dubrovsky,Robert Louis Stevenson"
tt0080516,Peter Medak,"Russell Hunter,William Gray,Diana Maddox"
tt0080596,John 'Bud' Cardos,"Wayne Schmidt,J. Larry Carroll,David Schmoeller,Steve Neill"
tt0080664,Rafael Romero Marchent,"Rafael Romero Marchent,Joaquín Luis Romero Marchent"
tt0081416,René Allio,"René Allio,Janine Peyre"
tt0081766,Mike Jittlov,"Mike Jittlov,Richard Kaye,Deven Chierighino"
tt0081851,Stuart Allen,"Richard Gordon,Ralph Thomas"
tt0081857,"Katerina Monemvassitis,Whitney Wallace,James Rosenfield,Marc Silver,Norman H. Strassner,Canaan Rubin,Brian K. Roberts,Bob Port,Ann Lewis,Eric S. Gray,Dan Funk,Joseph Freed,Scott Firestone,Miguel Enciso,Cheri Brownlee,Christopher Bavelles,Lauren Zima,Brad Magon,Brenda Rodriguez,Anthony Caleca,Ron de Moraes,Frank Radice,Jim Ziegler,Steve Hirsen,Brian Campbell,Stephen R. Powell,Stan Feingold,Peter Brown,Ryan Neary,Jim Sheehan,Dennis Coleman,Alicia Ulrich,Ali McCallister,Earnest Winborne,Edward Asiano,Stacey Chamberlain,Jay Larkins","Charles Cook,Jim Ziegler,Andrew Epstein,Andy Friendly,Felidette Blausucci,Sharon Hoffman,Ray Slaboda,Bob Flick,Bill Olson,Dick Wilson,Heidi Clements,Anthony Caleca,Ann Lewis,Scott Firestone,Alfred Masini,Wayne Warga"
tt0082198,John Milius,"Robert E. Howard,John Milius,Oliver Stone,Edward Summer"
tt0083143,Christian Lara,"Danielle Amerel,Florence Brunois,Emmanuelle Denis,Christian Lara,Sophie Marjerfeld-Siritzky,Merryl Rouchon"
tt0083863,Francis Leroi,"Francis Leroi,Owen T. Rozmann"
tt0084316,Hal Needham,"Bob Kachler,James Whittaker,Al Ruddy,Hal Needham,Andre Morgan"
tt0084464,Alfred Sole,"Jaime Barton Klein,Richard Whitley"
tt0084707,Alan J. Pakula,"William Styron,Alan J. Pakula"
tt0084726,Nicholas Meyer,"Samuel A. Peeples,Gene Roddenberry,Harve Bennett,Jack B. Sowards,Nicholas Meyer"
tt0084861,Gary Sherman,"Sandy Howard,Kenneth Peters,Robert Vincent O'Neil,Gary Sherman"
tt0085110,"James Sheldon,Hollingsworth Morse,Dennis Donnelly,Michael Hamilton,Barry Crane,Vincent McEveety,John Newland,Corey Allen,Bernard L. Kowalski,Georg Fenady,Alf Kjellin,Lawrence Levy,Max Gail","Lynn Barker,Philip DeGuere Jr.,Bob Shayne,James Crocker,Paul A. Magistretti,Joe Gannon,Phil Combest,Andrew Guerdat,Steve Kreinberg,Tom Sawyer,Arthur Weingarten,Craig Buck,Don Buday,Jill Gordon,Tim Maschler,Jack Laird,Clyde Ware"
tt0085380,Martin Ritt,"Marjorie Kinnan Rawlings,Dalene Young"
tt0085737,Francesco Prosperi,Piero Regnoli
tt0085747,Ivan Nagy,"Cynthia Whitcomb,Walter Halsey Davis"
tt0086340,Jack Hill,"Jim Wynorski,Jack Hill"
tt0086729,"Kevin Burston,Sally Brady,Leigh Spence","John Flanagan,Gary Reilly,Kym Goldsworthy,Ian Rochford,Bill Young,Hugh Stuckey,Ken Matthews,David Witt,Dave Cummings,Joan Flanagan,Stephen Quinn,Neil Stewart,Steve J. Spears"
tt0086837,Peter Hyams,"Arthur C. Clarke,Peter Hyams"
tt0086890,Alain Resnais,Jean Gruault
tt0087175,Joseph Ruben,"David Loughery,Chuck Russell,Joseph Ruben"
tt0087303,Tonino Ricci,"Jaime Comas Gil,Eugenio Benito"
tt0087592,David Winters,"Judd Hamilton,David Winters,Tom Klassen"
tt0088478,"Joe Dante,Peter Hyams,Todd Holland,Donald Petrie,Clint Eastwood,Robert Markowitz,Ken Kwapis,Paul Michael Glaser,Bob Balaban,Tom Holland,Steven Spielberg,Timothy Hutton,Robert Stevens,Nick Castle,Norman Reynolds,Kevin Reynolds,Paul Bartel,Danny DeVito,Irvin Kershner,Phil Joanou,J. Michael Riva,Michael D. Moore,Joan Darling,Lesli Linka Glatter,William Dear,Martin Scorsese,Tobe Hooper,Robert Zemeckis,Graham Baker,Matthew Robbins,Thomas Carter,Burt Reynolds,Mick Garris,Bob Clark,Brad Bird","Steven Spielberg,Joshua Brand,John Falsey,Mick Garris,Richard Matheson,Stu Krieger,Brad Bird,Gail Parent,Kevin Parent,Earl Pomerantz,Paul Bartel,Richard Christian Matheson,Tom McLoughlin,Michael De Guzman,Frank Deese,Douglas Lloyd McIntosh,Menno Meyjes,Jim Bissell,Pierre R. Debs,Robert C. Fox,Bob Gale,Lowell Ganz,Todd Holland,Timothy Hutton,Babaloo Mandel,Michael McDowell,Joseph Minion,Julie Moskowitz,Rockne S. O'Bannon,Peter Z. Orton,Anne Spielberg,Gary Stephens,Jacob Epstein,Jack Finney,Frank Kerr,Bruce Kirschbaum,Daniel Lindley,Ali Marie Matheson,John Meyer,Tom Szollosi"
