nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm6216349,Ghareeb Iskander,\N,\N,writer,tt3465418
nm4468555,Tracy Read,\N,\N,,tt1932308
nm1859628,Caroline Heisler,\N,\N,actress,"tt0795439,tt0138959,tt0491522"
nm0848231,Natalie Talmadge,1896,1969,"actress,writer","tt0011414,tt0014341,tt0010304,tt0011890"
nm0087368,Jack Bland,1899,1968,actor,"tt0280994,tt0416883,tt0170335"
nm6908568,Regina Rohana,\N,\N,actress,tt3745558
nm0728385,Howard Rissin,\N,\N,"sound_department,music_department,miscellaneous","tt0198190,tt3715300,tt0364656,tt1934472"
nm11267195,Micheline Remond,\N,\N,,tt11593548
nm0385771,Raphelle Hink,\N,\N,actress,"tt0118364,tt0150167"
nm10685518,Peejay Svoboda,\N,\N,actor,tt10314074
nm4389688,Nilesh Rai,\N,\N,,tt1872780
nm1325043,James Ollivier,\N,\N,actor,"tt0283332,tt0353998"
nm3096878,Beryl Levy,\N,\N,miscellaneous,tt0902982
nm4245065,Mása Serrano,\N,\N,miscellaneous,tt0303184
nm6685138,Ryan Byrom,\N,\N,producer,tt3919400
nm7088187,Roxanne Lee,\N,\N,actor,tt4401024
nm8709748,Jolei Gibson,\N,\N,actress,tt6426042
nm9582282,Louise Lowenthal,\N,\N,actress,tt0297607
nm6138594,Kevin Frey,\N,\N,"actor,miscellaneous","tt3268828,tt6988576,tt5281700,tt6119504"
nm9177881,Brandon Delyzer,\N,\N,actor,tt4630332
nm8661371,Julien Dörr,\N,\N,visual_effects,tt6355098
nm2948295,Amy Butkus Mooney,\N,\N,"producer,miscellaneous","tt0271894,tt1198098,tt1220638"
nm0708665,Josefina Ramos,1910,1936,"actress,miscellaneous",tt0132021
nm10139883,Elijah Laris,\N,\N,,tt9034516
nm5792852,Adam Biedermann,\N,\N,"editor,cinematographer","tt7130254,tt3042732,tt3908416"
nm2422927,Danny Berish,\N,\N,"director,writer,camera_department","tt0877333,tt0825695"
nm11002043,Franziska Dittrich,\N,\N,"actress,miscellaneous","tt9236688,tt0189307"
nm5198769,Madhushala,\N,\N,actress,tt2318980
nm4099181,Aika Shoji,\N,\N,"actress,stunts","tt1494817,tt1019994"
nm3246014,Simona Siminischi,\N,\N,actress,"tt1327799,tt1336107"
nm1921179,Daniele Coletta,\N,\N,actor,tt0291943
nm6265597,Mani Haider,\N,\N,"director,writer,editor",tt3510622
nm2280675,B. Scrotomski,\N,\N,miscellaneous,tt0805493
nm8190846,Yvonne Trefon,\N,\N,make_up_department,"tt6467064,tt4201422,tt3263674"
nm0585064,Guy Michelmore,\N,\N,"composer,music_department,soundtrack","tt0915463,tt1794595,tt0837143,tt1626038"
nm3231360,Christa Burris,\N,\N,producer,tt1340561
nm1044449,Lucie Lortie,\N,\N,"writer,costume_department,costume_designer","tt1411595,tt0100645,tt0202207,tt0178127"
nm6286504,Miland Gaukar,\N,\N,actor,tt3528740
nm9221274,Ardita Morina,\N,\N,actress,tt7285420
nm1245786,Raul Severo,\N,\N,actor,tt0183935
nm5327955,Amita Pravin,\N,\N,actress,tt2459182
nm6159858,Margot Terc,\N,\N,"miscellaneous,editor","tt4154118,tt3259484,tt4030522"
nm4268594,Man-guen Wong,\N,\N,actress,tt0082543
nm8909119,Colin Burroughs,\N,\N,actor,tt6236554
nm0761103,José Sancho,1944,2013,"actor,miscellaneous","tt0118819,tt0302447,tt0240576,tt0287467"
nm4953925,Iulia Mitzner,\N,\N,"art_department,actress,art_director","tt3859320,tt1723798,tt2494820,tt5447962"
nm3052089,Otona Mode,\N,\N,music_department,tt1194670
nm4055734,Miguel Villaneuva,\N,\N,,tt1629668
nm8910802,Pomona Dream,\N,\N,music_department,tt6746062
nm0083229,Roberto Biraschi,\N,\N,sound_department,"tt0098052,tt0092613,tt0100389,tt0327733"
nm0575146,Suzi Mealing,\N,\N,"producer,assistant_director,actress","tt0144315,tt0113094,tt0116142,tt0109144"
nm8071635,Wojtek Setlak,\N,\N,writer,tt4334594
nm2013322,Aaron Hare,\N,\N,editorial_department,tt0476230
nm6127347,Spencer Patterson,\N,\N,,"tt4149056,tt2847714"
nm1801231,Reeka Roberts,\N,\N,actress,tt0018054
nm4637319,Joe Baldwin,\N,\N,actor,tt1998354
nm2567725,Hannu Paloviita,\N,\N,"music_department,soundtrack","tt0383837,tt3185756"
nm7297642,Elizabeth Zeff,\N,\N,actress,"tt4586226,tt5666934"
nm1456761,Richard Sterban,\N,\N,,"tt10928252,tt1579167,tt0819695,tt0891311"
nm5803025,Tobias Jaeger,\N,\N,"producer,writer,executive","tt3647654,tt2960012"
nm0210199,Constance De Mattiazzi,\N,\N,actress,"tt0042106,tt0043762,tt0040053"
nm8813054,Matt Little,\N,\N,animation_department,tt4953128
nm2695705,Rogier Smeele,\N,\N,miscellaneous,"tt1053831,tt0486531"
nm8884279,Dan Powers,\N,\N,camera_department,tt6710980
nm6316435,Cori Carlson,\N,\N,,tt3437872
nm6061247,Jeremy S. Moorman,\N,\N,miscellaneous,tt3270630
nm3054274,Kurt Hoffmann-Leydorff,\N,\N,actor,tt0122510
nm4662552,Brian R. Wong,\N,\N,"camera_department,sound_department","tt2948856,tt2049418"
nm8646043,Chris Smith,\N,\N,camera_department,tt4317598
nm0238519,Rupert Drum,1882,1959,actor,tt0133810
nm2047127,Aimee Abbruzzese,\N,\N,actress,tt0108578
nm9244743,Tom Naugle,\N,\N,actor,tt5993604
nm11233414,Acquiline Mbithe,\N,\N,miscellaneous,tt11514364
nm3832316,Michael Steinitz,\N,\N,soundtrack,"tt1600739,tt0808315"
nm3166983,Bonnie McFerrin,\N,\N,,tt1308787
nm2313229,Ashley Beem,\N,\N,actress,tt0819701
nm1819387,Wai Chi Wong,\N,\N,"camera_department,actor,cinematographer","tt0101981,tt0103299,tt0308670,tt0100007"
nm6089941,Dakota Griffis,\N,\N,actor,tt3330106
nm0452524,Kathryn Kienke,\N,\N,music_department,tt0116242
nm9155680,Alex Rodriguez,\N,\N,sound_department,tt4702442
nm4621314,Bob Kone,\N,\N,actor,tt0490438
nm4004355,Starkesha Brown Robinson,\N,\N,actress,tt1637976
nm0244264,François Durocher,\N,\N,composer,tt0088893
nm1850055,Filomena Gennaro,\N,\N,miscellaneous,tt0195165
nm6049219,Nicole Leung,\N,\N,actress,tt3282516
nm6309144,Irene Córdoba,\N,\N,make_up_department,"tt4248652,tt3284442"
nm4920472,Pamela Karawia,\N,\N,"costume_department,executive",tt2265603
nm3996911,David Vollowitz,\N,\N,actor,tt1323592
nm0502563,Amy Leonard,\N,\N,actress,tt0258501
nm4478500,Gregor Gerten,\N,\N,sound_department,tt1274758
nm2224093,Paul Reid,\N,\N,actor,tt0396570
nm8031632,Tru Heru,\N,\N,,tt5591740
nm3439865,Josh Toups,\N,\N,"actor,composer","tt1428042,tt2273157,tt1524544"
nm0862413,Antoine Thérond,\N,\N,actor,tt0233283
nm5476542,Susan Migliore,\N,\N,miscellaneous,"tt2837574,tt0443272"
nm6229603,Chris Heward,\N,\N,actor,tt0926230
nm6609200,Todd Squires,\N,\N,miscellaneous,"tt4977390,tt0278692"
nm6712826,Rob Castro,\N,\N,actor,tt3958288
nm9271243,Claire Calzia,\N,\N,actress,tt7370778
nm3934581,Martin Rübenstahl-Schmidt,\N,\N,,tt1661391
nm3121207,Juan Carlos Morelo,\N,\N,camera_department,"tt1264879,tt11967166,tt0473697,tt1151923"
nm2698205,Scott Hanau,\N,\N,music_department,"tt3334704,tt2973402,tt6304452,tt5807780"
nm5188877,Annabel Chung,\N,\N,actress,tt2314348
nm2626655,Victor T. Cook,\N,\N,actor,tt0092969
nm0601586,Marvin Henry Moore,\N,\N,sound_department,"tt0112451,tt0189114"
nm3853534,Ngozi Joy Daniel,\N,\N,actress,"tt1625007,tt1625008"
nm7160002,Yong Shi,\N,\N,camera_department,tt1462900
nm5032768,Ali McKibben,\N,\N,miscellaneous,tt2145522
nm6446806,Yuen Ivy,\N,\N,actress,tt3543336
nm8278393,Bob Willard,\N,\N,,tt5872706
nm8968077,GilDong Lee,\N,\N,miscellaneous,tt4794852
nm8509697,Ryan Saunders,\N,\N,"cinematographer,director,editor",tt6749544
nm9967668,Ting Cao,\N,\N,actress,tt7888070
nm2124579,Steven Nathan,\N,\N,actor,"tt0757996,tt1015464"
nm1029781,Booth Grainge,\N,\N,producer,"tt0016622,tt0410121,tt0409289,tt0410645"
nm4029003,John Hood,\N,\N,producer,tt1708534
nm9480005,Samuel Gagnon-Thibodeau,\N,\N,,tt7735196
nm7154779,Armen Harutyunyan,\N,\N,,tt4131114
nm7152577,Brian Roberts,\N,\N,camera_department,tt4431058
nm7895859,Christophe Sollami,\N,\N,actor,tt5429802
nm3985686,Jim MacFarlane,\N,\N,actor,"tt1533049,tt0363661,tt0447587"
nm8117172,Christian Sulas,\N,\N,,tt5345644
nm1593527,Gilles Pecqueux,\N,\N,,tt0360845
nm5505771,Levente Szabó,\N,\N,"composer,music_department","tt5099020,tt1340834"
nm1841023,Mizuna Kuwabara,\N,\N,writer,tt0447590
nm11489487,Noah Revoy,\N,\N,,tt11173930
nm1466400,Angéline Tischi,\N,\N,actress,tt0336439
nm9727635,Malaka Dewapriya,\N,\N,"director,writer,producer","tt8195434,tt8274414,tt8274452,tt8273484"
nm10828227,Tristan Buhler,\N,\N,camera_department,tt4497570
nm8880349,Aaron Weaver,\N,\N,sound_department,tt6703840
nm3630219,Patrick Bertoletti,\N,\N,,"tt3758280,tt1498346"
nm2321763,Brigitte Trapp,\N,\N,actress,tt0825982
nm3948139,Dan Frishwasser,\N,\N,producer,"tt5165620,tt3012348,tt2113075,tt1698648"
nm9012158,Silke Grygier,\N,\N,actor,tt6921476
nm2073261,Eric Basset,\N,\N,"editor,producer,sound_department","tt1852001,tt7492746,tt7493020,tt7492386"
nm0706073,Anna Raeburn,1944,\N,"writer,actress","tt0078559,tt9019178,tt1196685,tt0088556"
nm8261059,Tick LoganSky,\N,\N,actor,tt2563912
nm0161404,Mel Churcher,\N,\N,"miscellaneous,actress,director","tt5137338,tt0146316,tt0119116,tt0421082"
nm7241293,John McDonald,\N,\N,director,tt4580004
nm8179145,Petr Kovcis,\N,\N,actor,tt5765742
nm11223249,Hamran,\N,\N,actor,tt7221634
nm11244881,Ruard Wallis De Vries,\N,\N,actor,tt11542758
nm5280975,Seth Yassky,\N,\N,producer,tt2005156
nm3337717,Tsutomu Ishigaki,\N,\N,director,tt1383557
nm2621568,Kenji Ishizaka,\N,\N,,tt1010414
nm1381754,Victoria Supple,\N,\N,miscellaneous,tt0094481
nm2559482,Maya Laurinaitis,\N,\N,"miscellaneous,producer,editorial_department","tt1035493,tt0146386,tt1038057,tt0877546"
nm9051295,Ashish Khandokar,\N,\N,actor,"tt8669104,tt6974890"
nm0420150,George Jeffers,\N,\N,actor,tt0099389
nm0771264,Gerda Scheyrer,1923,1999,"actress,music_department","tt1291113,tt0806910,tt11152248,tt0139165"
nm1447302,Jeremy Osbern,\N,\N,"cinematographer,producer,camera_department","tt0882741,tt1245526,tt5320828,tt7483144"
nm5576267,Kevin Taylor,\N,\N,actor,tt2778874
nm6396251,Son Yung Kuk,\N,\N,,tt2938306
nm9870775,Diana Burgos,\N,\N,actor,tt8481978
nm7004182,P.V.S. Rama Rao,\N,\N,miscellaneous,tt1431227
nm3089912,George Gleason,\N,\N,actor,tt1270105
nm4571128,Leonora Abuhado,\N,\N,,tt1981557
nm10646728,Ethan Francis,\N,\N,"camera_department,miscellaneous","tt9759814,tt11802104"
nm0495611,Andrea Leber,\N,\N,"script_department,editorial_department,editor","tt0113375,tt0120374,tt0183076,tt0806910"
nm1743588,Dwight Phipps,\N,\N,producer,"tt0428452,tt0439670,tt0479988,tt2404661"
nm9559536,Lars-Gunnar Thorell,\N,\N,"visual_effects,art_department","tt5227746,tt8004564,tt9355200"
nm5833142,Altai Burguin,\N,\N,"writer,director,composer",tt3084508
nm8894823,Maria Luisa Liguori,\N,\N,script_department,tt0085737
nm0614197,Dennis Murphy,1932,2005,writer,"tt0061634,tt0066463,tt0063585"
nm8248323,Raul Dario Rodriguez,\N,\N,"actor,sound_department",tt5813956
nm2288403,Jamal Case,\N,\N,miscellaneous,tt0813402
nm2860053,Aida Caefer,\N,\N,"special_effects,make_up_department,costume_department","tt0796366,tt1270798,tt1478964,tt0942385"
nm8534239,Pei-Ye Wu,\N,\N,visual_effects,"tt8336340,tt0458290,tt2930604"
nm9218824,Pj Seaux,\N,\N,composer,tt6040450
nm1901214,Naoki Katakai,\N,\N,"art_department,animation_department,art_director","tt0268256,tt0397042,tt0884870,tt0232531"
nm8206380,Edson Leal,\N,\N,actor,tt5709640
nm3131876,Joana Yordanova,\N,\N,miscellaneous,tt1291635
nm4287983,Brianna Kondrat,\N,\N,"miscellaneous,art_department,production_manager","tt1835129,tt1299368,tt1693679,tt1918727"
nm4852721,Tahlia De'Corso,\N,\N,miscellaneous,tt1212909
nm1199708,Angel Meramov,\N,\N,actor,tt0051972
nm7571375,Nate Chandler,\N,\N,camera_department,tt4991832
nm9136883,Tom Tucker,\N,\N,actor,tt7147486
nm9123616,Victor Dods,\N,\N,,tt7127524
nm8480169,Brian Lederman,\N,\N,actor,tt4909070
nm2267731,Kathleen B. Dance,\N,\N,producer,tt0801515
nm7896763,Simon Honneyman,\N,\N,editor,"tt5430840,tt5650560"
nm8874354,Davide Oliveri,\N,\N,production_manager,tt6692556
nm5262249,Jansen Franklin,\N,\N,"director,writer,editorial_department",tt2381942
nm4449299,Arthur Russell,1951,1992,"soundtrack,composer,music_department","tt2011953,tt0486531,tt2124803"
nm2629342,Becky Bodurtha,1981,\N,"costume_designer,costume_department","tt1017435,tt1436564"
nm4753399,Robert Brown,\N,\N,miscellaneous,"tt12089330,tt0094415"
nm2441242,Emilie Fruchart,\N,\N,script_department,"tt1528313,tt1064932,tt1566547,tt3174322"
nm11421192,Julia Liebminger,\N,\N,,tt11886138
nm4855328,Jonathon Deering,\N,\N,"composer,music_department,actor","tt5232140,tt9285882,tt6948548,tt8906376"
nm0445764,Shane T. Keller,\N,\N,sound_department,"tt0063823,tt0241822,tt0176234,tt1181833"
nm8104522,Joe Nann,\N,\N,actor,tt5215606
nm7518501,Artur Krysiak,\N,\N,,tt4917978
nm8395656,Lucía De La Torre,\N,\N,actress,"tt5122374,tt11939138"
nm4396997,Sarah Allen,\N,\N,make_up_department,"tt1828260,tt3102156"
nm4858498,Géraldine Merli,\N,\N,miscellaneous,tt1906422
nm6173964,Sarah Jane Nicholls,\N,\N,"actress,costume_department,producer","tt3422914,tt4446546,tt4592050"
nm2934485,Gaietta Gracci,\N,\N,actress,tt1175669
nm7703193,Sidney,\N,\N,actor,tt5170512
nm4045844,Celeste Mariano,\N,\N,sound_department,tt1056433
nm8114094,Peter Wilkins,\N,\N,miscellaneous,tt5684464
nm0302655,M.F. Gallas,\N,\N,actor,tt0204389
nm5432315,Mady Bone,\N,\N,"costume_department,production_designer","tt3655694,tt2482654"
nm11218582,Emily Hsiang-Chua Yang,\N,\N,actress,tt11478030
nm4161074,Jon Ripley,\N,\N,"actor,sound_department,director","tt4924538,tt8241148,tt10117046,tt1764312"
nm8030052,Romi McPherson,\N,\N,costume_department,tt5530188
nm8343300,Deborah Libby,\N,\N,"camera_department,director,cinematographer","tt12013910,tt6166196,tt7681112,tt5944318"
nm3318889,Alicia Moreno,\N,\N,actress,"tt1606759,tt1374843"
nm1281923,Tyrone Clark,\N,\N,actor,tt0165214
nm5709650,Ekaterina Kuzminskaya,\N,\N,actress,tt1001540
nm1457668,Bugsy,\N,\N,actor,"tt0145400,tt0312528,tt0266489,tt0802999"
nm7803089,Joseph Sawick Jr.,\N,\N,,tt1772281
nm0245623,Anat Dychtwald,\N,\N,actress,"tt0237123,tt0228502"
nm5094369,Louise Kay,\N,\N,actress,"tt2196670,tt2506748,tt5816514,tt2147416"
nm0879525,Peter Törnblom,\N,\N,music_department,tt0118463
nm8332965,Van Brown,\N,\N,producer,tt5791600
nm5037401,Barrel Akiyama,\N,\N,miscellaneous,tt2147390
nm2883829,Michael Tai,\N,\N,"visual_effects,editor,production_manager","tt0183341,tt0465676,tt2413192"
nm10360884,Aiko Kuramoto,\N,\N,production_designer,tt9437152
nm8166897,Satko Mujagic,\N,\N,,tt5574800
nm7964022,Shay,\N,\N,actress,tt5044344
nm6315870,Rey Boemi,\N,\N,cinematographer,tt3648280
nm3070978,K.C. Ladnier,\N,\N,sound_department,"tt0264365,tt0457275,tt0264605,tt0355364"
nm1106756,Gord Zubreki,\N,\N,actor,"tt0117679,tt0154100"
nm5237169,Raja,\N,\N,actor,tt2358074
nm0701755,Valtteri Pääkkönen,\N,\N,"actor,camera_department,special_effects","tt0399336,tt0127559,tt0127591,tt0803023"
nm5685428,Lebrado Alirez,\N,\N,actor,tt2140395
nm4070389,Yiran Xu,\N,\N,"special_effects,animation_department,miscellaneous","tt1722496,tt7361212,tt1978598"
nm9440322,Govind Singh Bisht,\N,\N,actor,tt7668800
nm2004818,Dick Fontaine,\N,\N,"director,producer,miscellaneous","tt1134856,tt1604199,tt1708468,tt2294817"
nm7156497,Bob Mann,\N,\N,composer,tt0253358
nm2576978,Ross David,\N,\N,make_up_department,"tt0408070,tt0419253,tt0375958,tt1827831"
nm3019512,Dan Rockmore,\N,\N,,tt1235714
nm0490359,Fred Latremouille,1945,2015,actor,"tt0085747,tt0079520,tt0080516,tt8264526"
nm3628212,Patty Soldo,\N,\N,actor,tt1517655
nm0107844,Francisco Bretas,\N,\N,actor,"tt0136748,tt0391321,tt0832515,tt0286336"
